날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2022-06-15,24100,25150,24100,24450,423700,10395692800,0.0
2022-06-16,25000,25150,23900,24000,379303,9315996650,-1.84
2022-06-17,23050,24350,23000,23850,489301,11597917600,-0.63
2022-06-20,23750,24000,22350,22350,676773,15442393200,-6.29
2022-06-21,22400,23750,22400,23300,674492,15634883700,4.25
2022-06-22,24450,25600,23600,24150,1420992,34665629550,3.65
2022-06-23,23700,23800,21200,21200,1081696,24085903250,-12.22
2022-06-24,21350,23100,21350,22800,633312,14231721500,7.55
2022-06-27,22850,24000,22400,23050,549739,12768993700,1.1
2022-06-28,22800,24000,22350,23000,601107,13833659100,-0.22
2022-06-29,22450,23000,22350,22600,273265,6178733050,-1.74
2022-06-30,22800,23300,21900,21900,366388,8254132400,-3.1
2022-07-01,22100,22800,21250,21600,380817,8375124050,-1.37
2022-07-04,21700,24050,21700,23000,1036063,24027954500,6.48
2022-07-05,23500,24500,23200,24050,760322,18266132150,4.57
2022-07-06,25000,25200,23950,24200,1138078,27904762250,0.62
2022-07-07,24250,24400,23050,24100,520855,12447135350,-0.41
2022-07-08,24400,25050,24050,24700,548690,13537975550,2.49
2022-07-11,25350,26300,24600,26150,1020822,26303645800,5.87
2022-07-12,26650,26750,26000,26200,687682,18104313600,0.19
2022-07-13,26450,26600,25550,26300,437849,11488057800,0.38
2022-07-14,26350,27400,25850,26800,740070,19872424800,1.9
2022-07-15,26800,28950,26800,28850,1441462,40465834050,7.65
2022-07-18,28650,28750,27500,28050,939869,26359877250,-2.77
2022-07-19,28150,28900,27800,28400,685254,19457091850,1.25
2022-07-20,28500,29000,28050,28400,628393,17888697250,0.0
2022-07-21,28550,29450,28150,28600,947296,27215067250,0.7
2022-07-22,28650,29400,28450,28700,565859,16356885000,0.35
2022-07-25,30250,30450,27300,27400,2008903,58446792700,-4.53
2022-07-26,27550,28000,27150,27250,498753,13695955200,-0.55
2022-07-27,27250,28750,27200,28400,998629,28073665500,4.22
2022-07-28,28400,29050,28350,28450,432665,12365271600,0.18
2022-07-29,28700,29000,28350,28600,354178,10149482500,0.53
2022-08-01,28600,29450,28600,29150,485227,14135542150,1.92
2022-08-02,29350,29350,28400,28800,357353,10264341600,-1.2
2022-08-03,28500,29450,28500,28800,288427,8382629850,0.0
2022-08-04,28850,29300,28700,28950,250083,7246731300,0.52
2022-08-05,29100,29400,28700,29050,332454,9671889050,0.35
2022-08-08,29050,29500,28000,28750,447729,12850382200,-1.03
2022-08-09,28950,28950,28500,28750,223210,6419442850,0.0
2022-08-10,28700,29000,28050,28150,289346,8271716750,-2.09
2022-08-11,28600,29650,28500,29400,711256,20769498600,4.44
2022-08-12,29950,30150,29050,29150,571320,16898461350,-0.85
2022-08-16,29250,29250,28400,28450,439710,12604001150,-2.4
2022-08-17,28450,29000,27500,27650,408773,11426223950,-2.81
2022-08-18,27450,27850,26850,26900,359053,9741614300,-2.71
2022-08-19,27000,27000,26400,26450,252506,6721148150,-1.67
2022-08-22,27000,28900,26850,27500,1038251,28773836450,3.97
2022-08-23,27150,27750,25800,25800,611848,16193485600,-6.18
2022-08-24,25900,26200,25250,26150,412438,10584728650,1.36
2022-08-25,26200,27550,26000,27450,429433,11623220800,4.97
2022-08-26,27500,33600,27300,31800,10625319,334864951150,15.85
2022-08-29,31100,33900,30700,32200,3304443,107485552300,1.26
2022-08-30,32550,35800,32400,33650,5261188,181097081600,4.5
2022-08-31,34050,35350,32400,34550,2532844,86657571300,2.67
2022-09-01,34950,35450,34000,34350,1606436,55689927800,-0.58
2022-09-02,34400,40750,34050,39400,11233312,435233374150,14.7
2022-09-05,40000,41300,38850,39400,3536460,141268384000,0.0
2022-09-06,39400,41250,39050,39600,2355428,94315421500,0.51
2022-09-07,40350,41050,38650,39600,2497625,100440579150,0.0
2022-09-08,39800,41150,39550,40650,2028815,81917439950,2.65
2022-09-13,40950,41600,40150,41100,1683253,68854767950,1.11
2022-09-14,40050,41400,39600,40300,957847,38908853400,-1.95
2022-09-15,40600,40850,39200,40300,959560,38551251750,0.0
2022-09-16,40500,40800,30500,31300,9624601,322148631000,-22.33
2022-09-19,32250,34450,28300,29050,4839835,151868309950,-7.19
2022-09-20,28800,29350,26700,27000,2594408,72314622700,-7.06
2022-09-21,27200,27350,24950,25350,2188711,56376357800,-6.11
2022-09-22,24900,25850,23850,24600,2031447,50235380450,-2.96
2022-09-23,24650,24950,23000,23500,1405343,33536221700,-4.47
2022-09-26,22850,24400,22150,22450,1760915,40651129100,-4.47
2022-09-27,22200,23550,21850,23050,1215107,27615230100,2.67
2022-09-28,23200,23300,21700,22000,1031558,22977594750,-4.56
2022-09-29,22400,23400,22300,22450,975525,22308584000,2.05
2022-09-30,21900,22550,20700,21000,914174,19682818000,-6.46
2022-10-04,21650,23000,21500,22750,910211,20410341700,8.33
2022-10-05,23350,23550,21950,22050,698406,15846287700,-3.08
2022-10-06,23050,23100,21700,22100,986050,21927051500,0.23
2022-10-07,22150,22150,19400,20000,1891248,38274468850,-9.5
2022-10-11,20050,20350,19150,19350,930810,18229617800,-3.25
2022-10-12,18850,19650,18850,19400,652654,12597487550,0.26
2022-10-13,19350,19500,18450,18750,635037,11935573300,-3.35
2022-10-14,19100,19650,19050,19500,499912,9710239300,4.0
2022-10-17,18900,20950,18800,20700,1256239,25499349300,6.15
2022-10-18,20950,21350,20500,21000,700389,14722291500,1.45
2022-10-19,21200,21200,19900,20000,612023,12502239700,-4.76
2022-10-20,20000,20450,19600,20000,399840,8033118350,0.0
2022-10-21,20000,20100,19500,19650,316021,6234990150,-1.75
2022-10-24,20350,21800,20250,21150,1019526,21516388800,7.63
2022-10-25,21750,22050,20800,20800,850509,18181359350,-1.65
2022-10-26,21000,21600,20400,20850,483677,10175129350,0.24
2022-10-27,20850,21300,20750,21250,288499,6086429300,1.92
2022-10-28,21200,21750,20900,21500,392758,8408736300,1.18
2022-10-31,21800,21900,21250,21400,340295,7330383350,-0.47
2022-11-01,21300,21600,20900,21300,325791,6897957150,-0.47
2022-11-02,21300,21750,20900,21550,403778,8646983850,1.17
2022-11-03,21050,21650,21000,21400,252155,5387189400,-0.7
2022-11-04,21600,23100,20850,22750,1214367,27145477450,6.31
2022-11-07,23150,23300,22500,22950,481533,11040743600,0.88
2022-11-08,23100,25350,22900,24450,1601992,39048245650,6.54
2022-11-09,24550,25300,24250,24400,709386,17592019650,-0.2
2022-11-10,24050,24500,23650,23750,501232,12030183600,-2.66
2022-11-11,24600,25200,24300,24950,678548,16820182800,5.05
2022-11-14,25500,26950,25250,25900,1022601,26772801600,3.81
2022-11-15,25900,27550,25850,27300,1110140,29792344350,5.41
2022-11-16,28050,29450,27050,27800,1522993,42821322550,1.83
2022-11-17,27700,28000,26550,26700,695188,18854052000,-3.96
2022-11-18,27400,28300,27200,27600,739347,20514031350,3.37
2022-11-21,28200,28950,25300,25400,1805155,49061252950,-7.97
2022-11-22,24900,27600,24850,26950,1444802,38324141500,6.1
2022-11-23,26700,27050,25800,26200,663478,17481926650,-2.78
2022-11-24,26050,26800,26050,26750,409732,10863748900,2.1
2022-11-25,27000,27550,26850,27050,509372,13902002700,1.12
2022-11-28,27250,27500,26300,26350,518156,13847271200,-2.59
2022-11-29,26350,27300,26350,26800,374786,10053892600,1.71
2022-11-30,26800,27000,25900,26050,447222,11758195400,-2.8
2022-12-01,26350,27350,26300,26650,563984,15183373450,2.3
2022-12-02,26750,28950,26200,26700,2258590,62272825550,0.19
2022-12-05,26800,27400,26050,26900,641834,17190000550,0.75
2022-12-06,26900,27200,24050,24350,1062030,27064288300,-9.48
2022-12-07,23950,24600,23100,24200,800891,19151263850,-0.62
2022-12-08,24100,25950,24100,25000,782738,19660413950,3.31
2022-12-09,25150,25800,25100,25550,320010,8160312600,2.2
2022-12-12,25550,26250,25500,25600,336175,8693051400,0.2
2022-12-13,25800,26300,25200,25600,285159,7320612050,0.0
2022-12-14,25800,26650,25650,26150,489006,12808180050,2.15
2022-12-15,26400,26700,25950,26250,405208,10645320400,0.38
2022-12-16,25900,26500,25700,25750,431656,11223944500,-1.9
2022-12-19,25950,26250,25850,26050,278581,7259998050,1.17
2022-12-20,26200,26450,25400,25400,335687,8688846250,-2.5
2022-12-21,25450,26850,25400,26650,750674,19834214350,4.92
2022-12-22,27000,27500,26650,27200,887397,24089459750,2.06
2022-12-23,26750,26850,24650,24750,1351923,34753669300,-9.01
2022-12-26,25450,25550,24700,24950,830604,20810117850,0.81
